category_code,category_name_kr,default_expiry_days,description
DAIRY_FRESH,유제품(신선),7,Dairy products that need refrigeration
DAIRY_PROCESSED,유제품(가공/롱라이프),30,Processed dairy products with longer shelf life
SOFT_CHEESE,연질치즈,14,Soft cheese products
HARD_CHEESE,경성치즈,60,Hard aged cheese products
MEAT_FRESH,육류(신선),3,Raw meat products
MEAT_PROCESSED,가공육,14,Processed meat products
EGGS,난류,28,Eggs and egg products
LEAFY_VEGETABLES,잎채소,5,Leafy vegetables
STEM_VEGETABLES,줄기채소,7,Stem vegetables
ROOT_VEGETABLES,뿌리채소(저온),14,Root vegetables that need cold storage
SPROUTS,발아채소,3,Fresh sprouts
FRUIT_VEGETABLES,열매채소,7,Fruit vegetables like tomatoes and peppers
MUSHROOMS,버섯류,5,Fresh mushrooms
FRUIT_GENERAL,과일(일반),7,General fruits
BERRIES,베리류,3,Fresh berries
CITRUS,감귤류,14,Citrus fruits
TROPICAL_FRUIT,열대과일,5,Tropical fruits
FISH_FRESH,어류(신선),2,Fresh fish
SHELLFISH,패류,2,Fresh shellfish
MOLLUSCS_CRUSTACEANS,연체/갑각류,2,Molluscs and crustaceans
FRESH_SEAWEED,해조류(생),5,Fresh seaweed
DRY_SEAWEED,해조류(건조),180,Dried seaweed
FROZEN_FOOD,냉동식품,90,Frozen food items
DRIED_NOODLES,건면,180,Dried noodles
FRESH_NOODLES,생/냉장면,5,Fresh refrigerated noodles
BREAD_GENERAL,빵(일반),3,General bread products
BAKERY_CREAM_SANDWICH,베이커리(크림/샌드),2,Bakery items with cream or sandwich components
BEVERAGE_REFRIGERATED,음료(냉장),7,Refrigerated beverages
BEVERAGE_SHELF_STABLE,음료(멸균/캔),180,Shelf-stable beverages
SNACKS,과자/스낵,90,Snack and confectionery products
GRAINS_RICE,곡류/쌀,365,Grains and rice products
SAUCES_SEASONINGS,소스/조미료,180,Sauces and seasonings
PICKLED_VEGETABLES,김치/절임류,14,Pickled vegetables and kimchi
CANNED_DRY_GOODS,통조림/건식품,365,Canned and dry goods
READY_MEALS_REFRIGERATED,반조리/냉장 HMR,3,Refrigerated ready meals
READY_MEALS_FROZEN,반조리/냉동 HMR,90,Frozen ready meals
ETC,기타,7,Uncategorized or miscellaneous items
